"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6497","Auth_InvalidCredentials_ShouldDisplayGenericSecurityError","Automation.Framework","2026-06-12","passed","2026-06-12","LoginScenariosTests","Automation.Framework.Tests","LoginScenariosTests","Auth_InvalidCredentials_ShouldDisplayGenericSecurityError"
"","121980","EndToEnd_ExecuteInternationalWire_ShouldGenerateReceipt","Automation.Framework","2026-06-12","broken","2026-06-12","WorldBankFunctionalTests","Automation.Framework.Tests","WorldBankFunctionalTests","EndToEnd_ExecuteInternationalWire_ShouldGenerateReceipt"
"","3071","Transfer_Step1_ValidData_ShouldAdvanceToReview","Automation.Framework","2026-06-12","passed","2026-06-12","WorldBankDataDrivenTests","Automation.Framework.Tests","WorldBankDataDrivenTests","Transfer_Step1_ValidData_ShouldAdvanceToReview"
"","2468","Auth_SqlInjectionAttempt_ShouldBeInterceptedByWaf","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_SqlInjectionAttempt_ShouldBeInterceptedByWaf"
"","3179","Auth_BruteForce_ShouldLockAccountAfterFourAttempts","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_BruteForce_ShouldLockAccountAfterFourAttempts"
"","2468","Auth_NewDeviceUser_ShouldTriggerMfaChallenge","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_NewDeviceUser_ShouldTriggerMfaChallenge"
"","143894","Auth_ValidCredentials_ShouldRouteToSecureDashboard","Automation.Framework","2026-06-12","broken","2026-06-12","LoginScenariosTests","Automation.Framework.Tests","LoginScenariosTests","Auth_ValidCredentials_ShouldRouteToSecureDashboard"
"","3003","Transfer_Step1_ValidData_ShouldAdvanceToReview","Automation.Framework","2026-06-12","passed","2026-06-12","WorldBankDataDrivenTests","Automation.Framework.Tests","WorldBankDataDrivenTests","Transfer_Step1_ValidData_ShouldAdvanceToReview"
"","3668","Auth_CrossSiteScriptingAttempt_ShouldBeInterceptedByWaf","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_CrossSiteScriptingAttempt_ShouldBeInterceptedByWaf"
