"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6433","Auth_InvalidCredentials_ShouldDisplayGenericSecurityError","Automation.Framework","2026-06-10","passed","2026-06-10","LoginScenariosTests","Automation.Framework.Tests","LoginScenariosTests","Auth_InvalidCredentials_ShouldDisplayGenericSecurityError"
"","7640","Auth_ValidCredentials_ShouldRouteToSecureDashboard","Automation.Framework","2026-06-10","broken","2026-06-10","LoginScenariosTests","Automation.Framework.Tests","LoginScenariosTests","Auth_ValidCredentials_ShouldRouteToSecureDashboard"
"","2528","Transfer_Step1_ValidData_ShouldAdvanceToReview","Automation.Framework","2026-06-10","passed","2026-06-10","WorldBankDataDrivenTests","Automation.Framework.Tests","WorldBankDataDrivenTests","Transfer_Step1_ValidData_ShouldAdvanceToReview"
"","2287","Auth_BruteForce_ShouldLockAccountAfterFourAttempts","Automation.Framework","2026-06-10","passed","2026-06-10","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_BruteForce_ShouldLockAccountAfterFourAttempts"
"","3651","Auth_CrossSiteScriptingAttempt_ShouldBeInterceptedByWaf","Automation.Framework","2026-06-10","passed","2026-06-10","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_CrossSiteScriptingAttempt_ShouldBeInterceptedByWaf"
"","2395","Auth_SqlInjectionAttempt_ShouldBeInterceptedByWaf","Automation.Framework","2026-06-10","passed","2026-06-10","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_SqlInjectionAttempt_ShouldBeInterceptedByWaf"
"","2513","Transfer_Step1_ValidData_ShouldAdvanceToReview","Automation.Framework","2026-06-10","passed","2026-06-10","WorldBankDataDrivenTests","Automation.Framework.Tests","WorldBankDataDrivenTests","Transfer_Step1_ValidData_ShouldAdvanceToReview"
"","32660","EndToEnd_ExecuteInternationalWire_ShouldGenerateReceipt","Automation.Framework","2026-06-10","broken","2026-06-10","WorldBankFunctionalTests","Automation.Framework.Tests","WorldBankFunctionalTests","EndToEnd_ExecuteInternationalWire_ShouldGenerateReceipt"
"","2298","Auth_NewDeviceUser_ShouldTriggerMfaChallenge","Automation.Framework","2026-06-10","passed","2026-06-10","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_NewDeviceUser_ShouldTriggerMfaChallenge"
