"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115239","Auth_ValidCredentials_ShouldRouteToSecureDashboard","Automation.Framework","2026-06-12","broken","2026-06-12","LoginScenariosTests","Automation.Framework.Tests","LoginScenariosTests","Auth_ValidCredentials_ShouldRouteToSecureDashboard"
"","2358","Auth_SqlInjectionAttempt_ShouldBeInterceptedByWaf","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_SqlInjectionAttempt_ShouldBeInterceptedByWaf"
"","3403","Auth_CrossSiteScriptingAttempt_ShouldBeInterceptedByWaf","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_CrossSiteScriptingAttempt_ShouldBeInterceptedByWaf"
"","2969","Transfer_Step1_ValidData_ShouldAdvanceToReview","Automation.Framework","2026-06-12","passed","2026-06-12","WorldBankDataDrivenTests","Automation.Framework.Tests","WorldBankDataDrivenTests","Transfer_Step1_ValidData_ShouldAdvanceToReview"
"","2484","Transfer_Step1_ValidData_ShouldAdvanceToReview","Automation.Framework","2026-06-12","passed","2026-06-12","WorldBankDataDrivenTests","Automation.Framework.Tests","WorldBankDataDrivenTests","Transfer_Step1_ValidData_ShouldAdvanceToReview"
"","6910","Auth_InvalidCredentials_ShouldDisplayGenericSecurityError","Automation.Framework","2026-06-12","passed","2026-06-12","LoginScenariosTests","Automation.Framework.Tests","LoginScenariosTests","Auth_InvalidCredentials_ShouldDisplayGenericSecurityError"
"","3163","Auth_BruteForce_ShouldLockAccountAfterFourAttempts","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_BruteForce_ShouldLockAccountAfterFourAttempts"
"","2368","Auth_NewDeviceUser_ShouldTriggerMfaChallenge","Automation.Framework","2026-06-12","passed","2026-06-12","SecurityScenariosTests","Automation.Framework.Tests","SecurityScenariosTests","Auth_NewDeviceUser_ShouldTriggerMfaChallenge"
"","105601","EndToEnd_ExecuteInternationalWire_ShouldGenerateReceipt","Automation.Framework","2026-06-12","broken","2026-06-12","WorldBankFunctionalTests","Automation.Framework.Tests","WorldBankFunctionalTests","EndToEnd_ExecuteInternationalWire_ShouldGenerateReceipt"
